etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,9492,0,0,0,0,22020928,416,9485,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,107938,0,0,0,0,250417008,360,108011,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,113184,0,0,0,0,262589112,416,113184,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,112209,0,0,0,0,260326720,440,112209,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,107465,0,0,0,0,249318880,360,107465,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,113066,0,0,0,0,262314648,424,113022,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,112105,0,0,0,0,260084856,464,112188,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,112023,0,0,0,0,259813584,432,111928,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,106922,0,0,0,0,247986240,400,106890,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,112366,0,0,0,0,260968864,416,112525,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,114606,0,0,0,0,265390176,408,114437,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,111155,0,0,0,0,258322312,408,111194,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,114617,0,0,0,0,265857816,424,114824,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,111447,0,0,0,0,258502168,416,111280,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,109764,0,0,0,0,254632736,440,109774,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,111300,0,0,0,0,258365304,352,111265,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,114033,0,0,0,0,264454352,488,114029,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110336,0,0,0,0,256091576,392,110390,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,108386,0,0,0,0,251279928,376,108364,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,113125,0,0,0,0,262396864,432,113056,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,113509,0,0,0,0,263108088,392,113347,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110720,0,0,0,0,257426600,408,110926,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,112141,0,0,0,0,259840640,416,112158,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110077,0,0,0,0,250033504,392,107722,0,0,0,0,0,0,0,0,0,0,signature_a
