Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0.0,0.0,4778.0,0.0,108.0,0.0,0.0,0.0,0.0,58541984.0,416.0,0.0,0.0,0.0,0.0,4885.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0859341431975313,18.620021325787185
0.0,0.0,57073.0,0.0,1296.0,0.0,0.0,0.0,0.0,696598752.0,424.0,0.0,0.0,0.0,0.0,58355.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0859341431975313,18.625793094836894
0.0,0.0,61219.0,0.0,1392.0,0.0,0.0,0.0,0.0,748837416.0,416.0,0.0,0.0,0.0,0.0,62610.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0859341431975313,18.62112331474556
0.0,0.0,57610.0,0.0,1308.0,0.0,0.0,0.0,0.0,703936208.0,464.0,0.0,0.0,0.0,0.0,58901.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0859341431975313,18.62112331474556
0.0,0.0,59979.0,0.0,1363.0,0.0,0.0,0.0,0.0,733065512.0,432.0,0.0,0.0,0.0,0.0,61343.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0859341431975313,18.62109503451136
0.0,0.0,57334.0,0.0,1304.0,0.0,0.0,0.0,0.0,700782288.0,416.0,0.0,0.0,0.0,0.0,58644.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0859341431975313,18.62140730202789
0.0,0.0,59335.0,0.0,1347.0,0.0,0.0,0.0,0.0,725247280.0,424.0,0.0,0.0,0.0,0.0,60701.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0859341431975313,18.628734653239384
0.0,0.0,60428.0,0.0,1372.0,0.0,0.0,0.0,0.0,738966296.0,432.0,0.0,0.0,0.0,0.0,61701.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0859341431975313,18.62132969895592
0.0,0.0,59790.0,0.0,1360.0,0.0,0.0,0.0,0.0,730453440.0,496.0,0.0,0.0,0.0,0.0,61263.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0859341431975313,18.621225745801297
0.0,0.0,58453.0,0.0,1328.0,0.0,0.0,0.0,0.0,714456592.0,376.0,0.0,0.0,0.0,0.0,59761.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0859341431975313,18.620709440385596
0.0,0.0,63325.0,0.0,1439.0,0.0,0.0,0.0,0.0,774010408.0,464.0,0.0,0.0,0.0,0.0,64760.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0859341431975313,18.620709440385596
0.0,0.0,57017.0,0.0,1296.0,0.0,0.0,0.0,0.0,697450488.0,408.0,0.0,0.0,0.0,0.0,58372.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0859341431975313,18.62354036910033
0.0,0.0,60492.0,0.0,1372.0,0.0,0.0,0.0,0.0,739165816.0,432.0,0.0,0.0,0.0,0.0,61741.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0859341431975313,18.62144003453957
0.0,0.0,59560.0,0.0,1355.0,0.0,0.0,0.0,0.0,727809928.0,424.0,0.0,0.0,0.0,0.0,60982.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0859341431975313,18.620271414530485
0.0,0.0,57925.0,0.0,1316.0,0.0,0.0,0.0,0.0,708005072.0,416.0,0.0,0.0,0.0,0.0,59241.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0859341431975313,18.62153284557784
