Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0.0,0.0,18.0,85.0,21.0,1.0,20.0,166.0,0.0,36952.0,301720.0,0.0,0.0,0.0,0.0,36.0,0.0,45.0,0.0,0.0,42.0,252.0
0.0,0.0,0.0,93.0,24.0,2.0,21.0,150.0,0.0,39328.0,350160.0,0.0,0.0,0.0,0.0,25.0,0.0,56.0,0.0,0.0,37.0,171.0
0.0,0.0,3.0,94.0,23.0,3.0,20.0,156.0,0.0,72760.0,364896.0,0.0,0.0,0.0,0.0,25.0,0.0,46.0,0.0,0.0,35.0,184.0
0.0,0.0,36.0,143.0,27.0,8.0,20.0,157.0,0.0,83656.0,835976.0,0.0,0.0,0.0,0.0,50.0,0.0,49.0,0.0,0.0,37.0,252.0
0.0,0.0,8.0,85.0,26.0,3.0,20.0,148.0,0.0,49880.0,433864.0,0.0,0.0,0.0,0.0,23.0,0.0,45.0,0.0,0.0,37.0,208.0
0.0,0.0,4.0,75.0,21.0,2.0,23.0,159.0,0.0,38776.0,299760.0,0.0,0.0,0.0,0.0,23.0,0.0,52.0,0.0,0.0,32.0,168.0
0.0,0.0,0.0,68.0,19.0,1.0,19.0,142.0,0.0,26552.0,287400.0,0.0,0.0,0.0,0.0,19.0,0.0,50.0,0.0,0.0,34.0,160.0
0.0,0.0,11.0,150.0,20.0,1.0,20.0,182.0,0.0,29488.0,544952.0,0.0,0.0,0.0,0.0,23.0,0.0,64.0,0.0,0.0,38.0,220.0
0.0,0.0,1.0,99.0,17.0,0.0,19.0,152.0,0.0,23632.0,356376.0,0.0,0.0,0.0,0.0,16.0,0.0,50.0,0.0,0.0,41.0,191.0
