etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,signature_a
0.0,0.0,0.0,0.0,9492.0,0.0,0.0,0.0,0.0,22020928.0,416.0,9485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,signature_a
0.0,0.0,0.0,0.0,107938.0,0.0,0.0,0.0,0.0,250417008.0,360.0,108011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,signature_a
0.0,0.0,0.0,0.0,113184.0,0.0,0.0,0.0,0.0,262589112.0,416.0,113184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,19.0,signature_a
0.0,0.0,0.0,0.0,112209.0,0.0,0.0,0.0,0.0,260326720.0,440.0,112209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,18.0,signature_a
0.0,0.0,0.0,0.0,107465.0,0.0,0.0,0.0,0.0,249318880.0,360.0,107465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,20.0,signature_a
0.0,0.0,0.0,0.0,113066.0,0.0,0.0,0.0,0.0,262314648.0,424.0,113022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,18.0,signature_a
0.0,0.0,0.0,0.0,112105.0,0.0,0.0,0.0,0.0,260084856.0,464.0,112188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,20.0,signature_a
0.0,0.0,0.0,0.0,112023.0,0.0,0.0,0.0,0.0,259813584.0,432.0,111928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,20.0,signature_a
0.0,0.0,0.0,0.0,106922.0,0.0,0.0,0.0,0.0,247986240.0,400.0,106890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,16.0,signature_a
0.0,0.0,0.0,0.0,112366.0,0.0,0.0,0.0,0.0,260968864.0,416.0,112525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,20.0,signature_a
0.0,0.0,0.0,0.0,114606.0,0.0,0.0,0.0,0.0,265390176.0,408.0,114437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,18.0,signature_a
0.0,0.0,0.0,0.0,111155.0,0.0,0.0,0.0,0.0,258322312.0,408.0,111194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,19.0,signature_a
0.0,0.0,0.0,0.0,114617.0,0.0,0.0,0.0,0.0,265857816.0,424.0,114824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,21.0,signature_a
