etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0.0,0.0,877.0,1449.0,202.0,199.0,46.0,2527.0,0.0,51216336.0,11849768.0,0.0,0.0,0.0,0.0,4910.0,0.0,86.0,0.0,0.0,70.0,4163.0,normal
0.0,0.0,1232.0,1934.0,177.0,194.0,42.0,2401.0,0.0,48836584.0,16435456.0,0.0,0.0,0.0,0.0,4807.0,0.0,83.0,0.0,0.0,64.0,4746.0,normal
0.0,0.0,1254.0,1946.0,168.0,195.0,42.0,2434.0,0.0,49825280.0,16671248.0,0.0,0.0,0.0,0.0,4887.0,0.0,83.0,0.0,0.0,59.0,4798.0,normal
0.0,0.0,581.0,904.0,160.0,175.0,41.0,2483.0,0.0,48001992.0,7860440.0,0.0,0.0,0.0,0.0,4374.0,0.0,81.0,0.0,0.0,66.0,3398.0,normal
0.0,0.0,424.0,685.0,182.0,196.0,50.0,2347.0,0.0,49654288.0,5792024.0,0.0,0.0,0.0,0.0,4482.0,0.0,92.0,0.0,0.0,72.0,3187.0,normal
0.0,0.0,429.0,660.0,187.0,215.0,49.0,2427.0,0.0,48732416.0,5972448.0,0.0,0.0,0.0,1.0,4366.0,0.0,88.0,0.0,0.0,66.0,3188.0,normal
0.0,0.0,437.0,687.0,171.0,200.0,40.0,2363.0,0.0,47623776.0,5942160.0,0.0,0.0,0.0,0.0,4308.0,0.0,82.0,0.0,0.0,69.0,3110.0,normal
0.0,0.0,408.0,602.0,162.0,202.0,45.0,2443.0,0.0,48707008.0,5371712.0,0.0,0.0,0.0,0.0,4420.0,0.0,85.0,0.0,0.0,67.0,3026.0,normal
0.0,0.0,257.0,444.0,163.0,202.0,47.0,2440.0,0.0,49131624.0,3434720.0,0.0,0.0,0.0,0.0,4404.0,0.0,90.0,0.0,0.0,63.0,2777.0,normal
0.0,0.0,222.0,395.0,139.0,206.0,49.0,2406.0,0.0,47866688.0,3006800.0,0.0,0.0,0.0,0.0,4285.0,0.0,90.0,0.0,0.0,60.0,2666.0,normal
0.0,0.0,297.0,489.0,148.0,228.0,49.0,2447.0,0.0,50329168.0,2759176.0,0.0,0.0,0.0,0.0,4545.0,0.0,91.0,0.0,0.0,66.0,2724.0,normal
0.0,0.0,188.0,387.0,146.0,202.0,49.0,2556.0,0.0,46239704.0,3127944.0,0.0,0.0,0.0,0.0,4105.0,0.0,85.0,0.0,0.0,63.0,2856.0,normal
