etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,0,0,235414,0,0,120593088,904,0,0,0,0,235486,0,0,0,0,0,0
0,0,0,0,0,0,168280,0,0,86052104,440,0,0,0,0,168221,0,0,0,0,0,0
0,0,0,0,0,0,167244,0,0,85608472,424,0,0,0,0,167213,0,0,0,0,0,0
0,0,0,0,0,0,327497,0,0,167635096,864,0,0,0,0,327418,0,0,0,0,0,0
0,0,0,0,0,0,339136,0,0,173687032,816,0,0,0,0,338910,0,0,0,0,0,0
0,0,0,0,0,0,168913,0,0,86472648,416,0,0,0,0,160598,0,0,0,0,0,0
0,0,0,0,0,0,324833,0,0,166314128,936,0,0,0,0,332232,0,0,0,0,0,0
0,0,0,0,0,0,169163,0,0,86604768,432,0,0,0,0,169052,0,0,0,0,0,0
0,0,0,0,0,0,338147,0,0,167931904,856,0,0,0,0,327980,0,0,0,0,0,0
0,0,0,0,0,0,163528,0,0,87830392,440,0,0,0,0,171697,0,0,0,0,0,0
0,0,0,0,0,0,169529,0,0,86912048,424,0,0,0,0,169687,0,0,0,0,0,0
0,0,0,0,0,0,326387,0,0,167264496,840,0,0,0,0,326315,0,0,0,0,0,0
0,0,0,0,0,0,169802,0,0,86892104,472,0,0,0,0,169801,0,0,0,0,0,0
0,0,0,0,0,0,167944,0,0,85996944,448,0,0,0,0,167943,0,0,0,0,0,0
0,0,0,0,0,0,328944,0,0,173310304,856,0,0,0,0,328971,0,0,0,0,0,0
0,0,0,0,0,0,168425,0,0,82489960,440,0,0,0,0,168418,0,0,0,0,0,0
0,0,0,0,0,0,169205,0,0,86521680,384,0,0,0,0,169086,0,0,0,0,0,0
0,0,0,0,0,0,165112,0,0,84586808,440,0,0,0,0,165168,0,0,0,0,0,0
0,0,0,0,0,0,343420,0,0,175849912,832,0,0,0,0,342159,0,0,0,0,0,0
0,0,0,0,0,0,161951,0,0,82929368,480,0,0,0,0,163048,0,0,0,0,0,0
0,0,0,0,0,0,167162,0,0,85641696,424,0,0,0,0,166933,0,0,0,0,0,0
0,0,0,0,0,0,168254,0,0,86083704,424,0,0,0,0,168337,0,0,0,0,0,0
0,0,0,0,0,0,168381,0,0,86133344,424,0,0,0,0,168265,0,0,0,0,0,0
0,0,0,0,0,0,161694,0,0,82832816,432,0,0,0,0,161718,0,0,0,0,0,0
0,0,0,0,0,0,337585,0,0,172908816,872,0,0,0,0,337747,0,0,0,0,0,0
0,0,0,0,0,0,160120,0,0,81941832,416,0,0,0,0,160019,0,0,0,0,0,0
0,0,0,0,0,0,168105,0,0,86135032,432,0,0,0,0,168317,0,0,0,0,0,0
0,0,0,0,0,0,170624,0,0,87237744,504,0,0,0,0,170426,0,0,0,0,0,0
0,0,0,0,0,0,165971,0,0,85037296,440,0,0,0,0,166271,0,0,0,0,0,0
0,0,0,0,0,0,166652,0,0,85357944,424,0,0,0,0,166362,0,0,0,0,0,0
0,0,0,0,0,0,168526,0,0,86249272,440,0,0,0,0,168577,0,0,0,0,0,0
0,0,0,0,0,0,161714,0,0,82888400,368,0,0,0,0,161239,0,0,0,0,0,0
0,0,0,0,0,0,166344,0,0,85070832,440,0,0,0,0,166820,0,0,0,0,0,0
0,0,0,0,0,0,167600,0,0,85831248,432,0,0,0,0,167581,0,0,0,0,0,0
0,0,0,0,0,0,169564,0,0,86808568,424,0,0,0,0,169433,0,0,0,0,0,0
0,0,0,0,0,0,165993,0,0,84979840,432,0,0,0,0,166093,0,0,0,0,0,0
0,0,0,0,0,0,330228,0,0,169088472,928,0,0,0,0,330244,0,0,0,0,0,0
0,0,0,0,0,0,169450,0,0,86758440,432,0,0,0,0,169388,0,0,0,0,0,0
0,0,0,0,0,0,162833,0,0,83381320,432,0,0,0,0,162849,0,0,0,0,0,0
0,0,0,0,0,0,167615,0,0,85797360,448,0,0,0,0,167728,0,0,0,0,0,0
0,0,0,0,0,0,166995,0,0,85519208,424,0,0,0,0,166856,0,0,0,0,0,0
0,0,0,0,0,0,167321,0,0,85543120,432,0,0,0,0,167198,0,0,0,0,0,0
0,0,0,0,0,0,168274,0,0,86274064,440,0,0,0,0,168563,0,0,0,0,0,0
0,0,0,0,0,0,157926,0,0,80869048,400,0,0,0,0,157864,0,0,0,0,0,0
0,0,0,0,0,0,166176,0,0,85081248,440,0,0,0,0,166047,0,0,0,0,0,0
0,0,0,0,0,0,166276,0,0,85140608,384,0,0,0,0,166356,0,0,0,0,0,0
0,0,0,0,0,0,337037,0,0,172546776,920,0,0,0,0,337015,0,0,0,0,0,0
0,0,0,0,0,0,159253,0,0,81559520,408,0,0,0,0,159268,0,0,0,0,0,0
0,0,0,0,0,0,332048,0,0,169981488,872,0,0,0,0,332046,0,0,0,0,0,0
0,0,0,0,0,0,338828,0,0,173358696,872,0,0,0,0,338721,0,0,0,0,0,0
0,0,0,0,0,0,159481,0,0,81531992,408,0,0,0,0,159250,0,0,0,0,0,0
0,0,0,0,0,0,166966,0,0,85402504,432,0,0,0,0,166715,0,0,0,0,0,0
0,0,0,0,0,0,166706,0,0,85585816,416,0,0,0,0,167159,0,0,0,0,0,0
0,0,0,0,0,0,323904,0,0,165926320,872,0,0,0,0,324013,0,0,0,0,0,0
0,0,0,0,0,0,168682,0,0,86344536,488,0,0,0,0,168784,0,0,0,0,0,0
0,0,0,0,0,0,339788,0,0,173958720,880,0,0,0,0,337122,0,0,0,0,0,0
0,0,0,0,0,0,162494,0,0,83217384,368,0,0,0,0,164314,0,0,0,0,0,0
0,0,0,0,0,0,169007,0,0,86547264,440,0,0,0,0,169084,0,0,0,0,0,0
0,0,0,0,0,0,168312,0,0,86159256,432,0,0,0,0,168382,0,0,0,0,0,0
0,0,0,0,0,0,168317,0,0,86162016,424,0,0,0,0,168261,0,0,0,0,0,0
0,0,0,0,0,0,166347,0,0,85248784,432,0,0,0,0,166441,0,0,0,0,0,0
0,0,0,0,0,0,157631,0,0,80582072,416,0,0,0,0,157436,0,0,0,0,0,0
0,0,0,0,0,0,334354,0,0,171223192,920,0,0,0,0,334568,0,0,0,0,0,0
0,0,0,0,0,0,169711,0,0,86834448,424,0,0,0,0,169559,0,0,0,0,0,0
0,0,0,0,0,0,325278,0,0,166578904,864,0,0,0,0,325295,0,0,0,0,0,0
0,0,0,0,0,0,167058,0,0,85627920,456,0,0,0,0,167158,0,0,0,0,0,0
0,0,0,0,0,0,162034,0,0,82870472,432,0,0,0,0,161867,0,0,0,0,0,0
0,0,0,0,0,0,166468,0,0,85231608,440,0,0,0,0,166624,0,0,0,0,0,0
0,0,0,0,0,0,170165,0,0,87124384,440,0,0,0,0,169908,0,0,0,0,0,0
0,0,0,0,0,0,337869,0,0,172988856,864,0,0,0,0,337925,0,0,0,0,0,0
0,0,0,0,0,0,168440,0,0,86229456,424,0,0,0,0,168511,0,0,0,0,0,0
0,0,0,0,0,0,325709,0,0,166795912,848,0,0,0,0,325989,0,0,0,0,0,0
0,0,0,0,0,0,169023,0,0,86470192,432,0,0,0,0,168730,0,0,0,0,0,0
0,0,0,0,0,0,166985,0,0,85603408,424,0,0,0,0,167060,0,0,0,0,0,0
0,0,0,0,0,0,161436,0,0,82525344,416,0,0,0,0,161411,0,0,0,0,0,0
0,0,0,0,0,0,165954,0,0,85024744,448,0,0,0,0,165877,0,0,0,0,0,0
0,0,0,0,0,0,333467,0,0,170766432,888,0,0,0,0,333633,0,0,0,0,0,0
0,0,0,0,0,0,337417,0,0,172730832,872,0,0,0,0,337371,0,0,0,0,0,0
0,0,0,0,0,0,160610,0,0,82227720,424,0,0,0,0,160592,0,0,0,0,0,0
0,0,0,0,0,0,168277,0,0,86103624,424,0,0,0,0,168170,0,0,0,0,0,0
0,0,0,0,0,0,167945,0,0,86050960,432,0,0,0,0,168066,0,0,0,0,0,0
0,0,0,0,0,0,158976,0,0,81396248,368,0,0,0,0,159058,0,0,0,0,0,0
0,0,0,0,0,0,166013,0,0,84998672,432,0,0,0,0,165963,0,0,0,0,0,0
0,0,0,0,0,0,170069,0,0,87075336,496,0,0,0,0,170018,0,0,0,0,0,0
0,0,0,0,0,0,340719,0,0,174351488,880,0,0,0,0,340544,0,0,0,0,0,0
0,0,0,0,0,0,161247,0,0,82508288,432,0,0,0,0,161070,0,0,0,0,0,0
0,0,0,0,0,0,166708,0,0,85462432,440,0,0,0,0,166976,0,0,0,0,0,0
0,0,0,0,0,0,167240,0,0,85703936,448,0,0,0,0,167576,0,0,0,0,0,0
