etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0
0,0,4778,0,108,0,0,0,0,58541984,416,0,0,0,0,4885,0,0,0,0,0,0
0,0,57073,0,1296,0,0,0,0,696598752,424,0,0,0,0,58355,0,0,0,0,0,0
0,0,118829,0,2700,0,0,0,0,1452773624,880,0,0,0,0,121511,0,0,0,0,0,0
0,0,59979,0,1363,0,0,0,0,733065512,432,0,0,0,0,61343,0,0,0,0,0,0
0,0,57334,0,1304,0,0,0,0,700782288,416,0,0,0,0,58644,0,0,0,0,0,0
0,0,59335,0,1347,0,0,0,0,725247280,424,0,0,0,0,60701,0,0,0,0,0,0
0,0,60428,0,1372,0,0,0,0,738966296,432,0,0,0,0,61701,0,0,0,0,0,0
0,0,59790,0,1360,0,0,0,0,730453440,496,0,0,0,0,61263,0,0,0,0,0,0
0,0,121778,0,2767,0,0,0,0,1488467000,840,0,0,0,0,124521,0,0,0,0,0,0
0,0,57017,0,1296,0,0,0,0,697450488,408,0,0,0,0,58372,0,0,0,0,0,0
0,0,60492,0,1372,0,0,0,0,739165816,432,0,0,0,0,61741,0,0,0,0,0,0
0,0,59560,0,1355,0,0,0,0,727809928,424,0,0,0,0,60982,0,0,0,0,0,0
0,0,57925,0,1316,0,0,0,0,708005072,416,0,0,0,0,59241,0,0,0,0,0,0
0,0,118661,0,2695,0,0,0,0,1450580176,920,0,0,0,0,121372,0,0,0,0,0,0
0,0,60499,0,1374,0,0,0,0,739240328,416,0,0,0,0,61859,0,0,0,0,0,0
0,0,116815,0,2654,0,0,0,0,1427466336,856,0,0,0,0,119465,0,0,0,0,0,0
0,0,59866,0,1360,0,0,0,0,732186088,432,0,0,0,0,61220,0,0,0,0,0,0
0,0,59876,0,1361,0,0,0,0,731928256,496,0,0,0,0,61251,0,0,0,0,0,0
0,0,119991,0,2725,0,0,0,0,1467442424,864,0,0,0,0,122798,0,0,0,0,0,0
0,0,56663,0,1288,0,0,0,0,692093696,408,0,0,0,0,57908,0,0,0,0,0,0
0,0,119661,0,2718,0,0,0,0,1462584328,808,0,0,0,0,122413,0,0,0,0,0,0
0,0,60113,0,1366,0,0,0,0,734800136,432,0,0,0,0,61498,0,0,0,0,0,0
0,0,57139,0,1300,0,0,0,0,699525728,416,0,0,0,0,58437,0,0,0,0,0,0
0,0,59699,0,1353,0,0,0,0,728090664,432,0,0,0,0,60951,0,0,0,0,0,0
0,0,60050,0,1365,0,0,0,0,734289928,504,0,0,0,0,61471,0,0,0,0,0,0
0,0,60806,0,1381,0,0,0,0,742909064,424,0,0,0,0,62171,0,0,0,0,0,0
0,0,116425,0,2646,0,0,0,0,1423719464,856,0,0,0,0,119140,0,0,0,0,0,0
0,0,60067,0,1365,0,0,0,0,733963472,440,0,0,0,0,61337,0,0,0,0,0,0
0,0,59415,0,1349,0,0,0,0,726215648,424,0,0,0,0,60840,0,0,0,0,0,0
0,0,60380,0,1372,0,0,0,0,738012600,448,0,0,0,0,61770,0,0,0,0,0,0
0,0,57063,0,1296,0,0,0,0,697469984,424,0,0,0,0,58331,0,0,0,0,0,0
0,0,59634,0,1357,0,0,0,0,728898976,424,0,0,0,0,61005,0,0,0,0,0,0
0,0,59908,0,1360,0,0,0,0,732243200,504,0,0,0,0,61307,0,0,0,0,0,0
0,0,60000,0,1363,0,0,0,0,733370952,432,0,0,0,0,61314,0,0,0,0,0,0
0,0,116857,0,2655,0,0,0,0,1428173312,784,0,0,0,0,119496,0,0,0,0,0,0
0,0,60609,0,1378,0,0,0,0,741401768,424,0,0,0,0,62041,0,0,0,0,0,0
0,0,60094,0,1362,0,0,0,0,732918296,432,0,0,0,0,61349,0,0,0,0,0,0
0,0,60707,0,1379,0,0,0,0,741662680,424,0,0,0,0,61870,0,0,0,0,0,0
