etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1452,0,0,743592,416,0,0,0,727,723,0,0,0,0,0,0
0,0,0,0,0,0,23273,0,0,11918488,424,0,0,0,11630,11645,0,0,0,0,0,0
0,0,0,0,0,0,22006,0,0,11258608,352,0,0,0,10465,11014,0,0,0,0,0,0
0,0,0,0,0,0,20981,0,0,10743544,416,0,0,0,11001,10506,0,0,0,0,0,0
0,0,0,0,0,0,43235,0,0,22133808,784,0,0,0,21603,21619,0,0,0,0,0,0
0,0,0,0,0,0,22481,0,0,11543536,488,0,0,0,11264,11295,0,0,0,0,0,0
0,0,0,0,0,0,22133,0,0,11284480,424,0,0,0,11047,10980,0,0,0,0,0,0
0,0,0,0,0,0,20940,0,0,10731624,400,0,0,0,10481,10478,0,0,0,0,0,0
0,0,0,0,0,0,22122,0,0,11331856,416,0,0,0,11047,11080,0,0,0,0,0,0
0,0,0,0,0,0,43161,0,0,22090320,824,0,0,0,21551,21601,0,0,0,0,0,0
0,0,0,0,0,0,44015,0,0,22539104,936,0,0,0,22010,22003,0,0,0,0,0,0
0,0,0,0,0,0,22237,0,0,11386864,416,0,0,0,11130,11088,0,0,0,0,0,0
0,0,0,0,0,0,20806,0,0,10655440,400,0,0,0,10400,10420,0,0,0,0,0,0
0,0,0,0,0,0,22264,0,0,11351584,424,0,0,0,11089,11093,0,0,0,0,0,0
0,0,0,0,0,0,21903,0,0,11253400,416,0,0,0,11008,10991,0,0,0,0,0,0
0,0,0,0,0,0,21889,0,0,11206952,368,0,0,0,10935,10929,0,0,0,0,0,0
0,0,0,0,0,0,21050,0,0,10778872,408,0,0,0,10541,10513,0,0,0,0,0,0
0,0,0,0,0,0,43478,0,0,22260256,864,0,0,0,21745,21741,0,0,0,0,0,0
0,0,0,0,0,0,22081,0,0,11303728,424,0,0,0,11041,11042,0,0,0,0,0,0
0,0,0,0,0,0,20842,0,0,10674400,400,0,0,0,10423,10400,0,0,0,0,0,0
0,0,0,0,0,0,22307,0,0,11419200,416,0,0,0,11174,11144,0,0,0,0,0,0
0,0,0,0,0,0,22109,0,0,11319616,424,0,0,0,11049,11056,0,0,0,0,0,0
0,0,0,0,0,0,22061,0,0,11295464,416,0,0,0,11044,11020,0,0,0,0,0,0
0,0,0,0,0,0,21658,0,0,11082792,408,0,0,0,10829,10819,0,0,0,0,0,0
0,0,0,0,0,0,42890,0,0,21964080,824,0,0,0,21456,21441,0,0,0,0,0,0
0,0,0,0,0,0,22106,0,0,11312184,424,0,0,0,11045,11052,0,0,0,0,0,0
0,0,0,0,0,0,43449,0,0,22244912,872,0,0,0,21735,21708,0,0,0,0,0,0
0,0,0,0,0,0,22036,0,0,11284784,424,0,0,0,11020,11020,0,0,0,0,0,0
0,0,0,0,0,0,21957,0,0,11239576,416,0,0,0,10972,10980,0,0,0,0,0,0
0,0,0,0,0,0,20906,0,0,10703368,360,0,0,0,10462,10442,0,0,0,0,0,0
0,0,0,0,0,0,21668,0,0,11088032,400,0,0,0,10810,10848,0,0,0,0,0,0
0,0,0,0,0,0,22095,0,0,11360232,424,0,0,0,11074,11066,0,0,0,0,0,0
0,0,0,0,0,0,22113,0,0,11261112,416,0,0,0,11030,11001,0,0,0,0,0,0
0,0,0,0,0,0,21880,0,0,11218592,408,0,0,0,10962,10957,0,0,0,0,0,0
0,0,0,0,0,0,21902,0,0,11223520,488,0,0,0,10962,10951,0,0,0,0,0,0
0,0,0,0,0,0,42709,0,0,21865120,816,0,0,0,21364,21332,0,0,0,0,0,0
0,0,0,0,0,0,44085,0,0,22572976,840,0,0,0,22034,22056,0,0,0,0,0,0
0,0,0,0,0,0,43475,0,0,22259048,840,0,0,0,21743,21737,0,0,0,0,0,0
0,0,0,0,0,0,21183,0,0,10838232,408,0,0,0,10578,10599,0,0,0,0,0,0
0,0,0,0,0,0,21826,0,0,11189224,408,0,0,0,10919,10913,0,0,0,0,0,0
0,0,0,0,0,0,43654,0,0,22348432,752,0,0,0,21815,21831,0,0,0,0,0,0
0,0,0,0,0,0,43907,0,0,22487920,872,0,0,0,21946,21951,0,0,0,0,0,0
