etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,0,0,49730,0,0,25454320,392,0,8,0,49718,0,0,0,0,0,0,0
0,0,0,0,0,0,396024,0,0,202811064,752,0,288,0,396224,0,0,0,0,0,0,0
0,0,0,0,0,0,202243,0,0,103548784,416,0,112,0,202222,0,0,0,0,0,0,0
0,0,0,0,0,0,405582,0,0,207657936,864,0,276,0,405580,0,0,0,0,0,0,0
0,0,0,0,0,0,201813,0,0,103329144,400,0,295,0,201816,0,0,0,0,0,0,0
0,0,0,0,0,0,395050,0,0,202345240,808,0,418,0,395049,0,0,0,0,0,0,0
0,0,0,0,0,0,203260,0,0,104068304,408,0,206,0,203258,0,0,0,0,0,0,0
0,0,0,0,0,0,203817,0,0,104354552,408,0,139,0,203816,0,0,0,0,0,0,0
0,0,0,0,0,0,194674,0,0,99674072,400,0,156,0,194677,0,0,0,0,0,0,0
0,0,0,0,0,0,205435,0,0,105183440,408,0,284,0,205434,0,0,0,0,0,0,0
0,0,0,0,0,0,201160,0,0,102992368,400,0,124,0,200852,0,0,0,0,0,0,0
0,0,0,0,0,0,398072,0,0,208463152,816,0,181,0,398346,0,0,0,0,0,0,0
0,0,0,0,0,0,199061,0,0,101567784,408,0,59,0,205385,0,0,0,0,0,0,0
0,0,0,0,0,0,206730,0,0,102496768,400,0,117,0,200190,0,0,0,0,0,0,0
0,0,0,0,0,0,192195,0,0,98399568,392,0,68,0,192192,0,0,0,0,0,0,0
0,0,0,0,0,0,201569,0,0,103205584,416,0,19,0,201568,0,0,0,0,0,0,0
0,0,0,0,0,0,203581,0,0,104235200,400,0,30,0,203582,0,0,0,0,0,0,0
0,0,0,0,0,0,203141,0,0,104007904,424,0,4,0,203140,0,0,0,0,0,0,0
0,0,0,0,0,0,398577,0,0,205516856,896,0,43,0,398576,0,0,0,0,0,0,0
0,0,0,0,0,0,204364,0,0,104558624,416,0,12,0,204362,0,0,0,0,0,0,0
0,0,0,0,0,0,191747,0,0,98174968,384,0,14,0,191386,0,0,0,0,0,0,0
0,0,0,0,0,0,201957,0,0,103401496,416,0,0,0,202337,0,0,0,0,0,0,0
0,0,0,0,0,0,409640,0,0,209328960,824,0,72,0,409639,0,0,0,0,0,0,0
0,0,0,0,0,0,202363,0,0,100632392,344,0,78,0,202362,0,0,0,0,0,0,0
0,0,0,0,0,0,402595,0,0,208919520,864,0,90,0,402594,0,0,0,0,0,0,0
0,0,0,0,0,0,204921,0,0,104918808,416,0,33,0,204920,0,0,0,0,0,0,0
0,0,0,0,0,0,196185,0,0,100743528,392,0,53,0,196185,0,0,0,0,0,0,0
0,0,0,0,0,0,206959,0,0,105771392,416,0,41,0,207510,0,0,0,0,0,0,0
0,0,0,0,0,0,407123,0,0,208426696,824,0,43,0,406669,0,0,0,0,0,0,0
0,0,0,0,0,0,402988,0,0,206330384,792,0,90,0,402988,0,0,0,0,0,0,0
0,0,0,0,0,0,403267,0,0,206430264,880,0,143,0,403380,0,0,0,0,0,0,0
0,0,0,0,0,0,215588,0,0,110530432,408,0,129,0,215494,0,0,0,0,0,0,0
0,0,0,0,0,0,202097,0,0,103498208,400,0,118,0,202097,0,0,0,0,0,0,0
0,0,0,0,0,0,195439,0,0,99981384,400,0,136,0,195439,0,0,0,0,0,0,0
0,0,0,0,0,0,199785,0,0,102366176,400,0,161,0,199784,0,0,0,0,0,0,0
0,0,0,0,0,0,207222,0,0,106014944,368,0,166,0,207282,0,0,0,0,0,0,0
0,0,0,0,0,0,195892,0,0,100492464,384,0,199,0,196506,0,0,0,0,0,0,0
0,0,0,0,0,0,209265,0,0,107008912,408,0,182,0,208392,0,0,0,0,0,0,0
0,0,0,0,0,0,205322,0,0,104991776,464,0,244,0,201744,0,0,0,0,0,0,0
0,0,0,0,0,0,192896,0,0,98863384,392,0,118,0,196765,0,0,0,0,0,0,0
0,0,0,0,0,0,204350,0,0,104443160,408,0,125,0,203570,0,0,0,0,0,0,0
0,0,0,0,0,0,206473,0,0,105840856,416,0,199,0,207028,0,0,0,0,0,0,0
0,0,0,0,0,0,210090,0,0,107411576,400,0,88,0,209788,0,0,0,0,0,0,0
0,0,0,0,0,0,201326,0,0,103309472,392,0,68,0,201644,0,0,0,0,0,0,0
0,0,0,0,0,0,206131,0,0,105309768,416,0,99,0,201159,0,0,0,0,0,0,0
