etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,163110,0,130562872,456,0,0,0,163037,0,0,0,0,0,0,0
0,0,0,0,0,0,0,177848,0,142168784,472,0,0,0,177810,0,0,0,0,0,0,0
0,0,0,0,0,0,0,182091,0,145844704,464,0,0,0,182424,0,0,0,0,0,0,0
0,0,0,0,0,0,0,168895,0,135180648,472,0,0,0,168871,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175139,0,139987648,472,0,0,0,175055,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171284,0,136940832,456,0,0,0,171248,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171858,0,137623472,480,0,0,0,172278,0,0,0,0,0,0,0
0,0,0,0,0,0,0,173255,0,138615648,464,0,0,0,173068,0,0,0,0,0,0,0
0,0,0,0,0,0,0,172857,0,138153928,592,0,0,0,172625,0,0,0,0,0,0,0
0,0,0,0,0,0,0,165329,0,132331616,464,0,0,0,165329,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175843,0,140620056,472,0,0,0,176079,0,0,0,0,0,0,0
0,0,0,0,0,0,0,181376,0,145256816,464,0,0,0,181133,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171244,0,136853960,480,0,0,0,171245,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171340,0,137146496,424,0,0,0,171340,0,0,0,0,0,0,0
0,0,0,0,0,0,0,163646,0,130816936,464,0,0,0,163699,0,0,0,0,0,0,0
0,0,0,0,0,0,0,170081,0,136222240,464,0,0,0,170027,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175735,0,140477648,472,0,0,0,175729,0,0,0,0,0,0,0
0,0,0,0,0,0,0,172476,0,138084016,600,0,0,0,172481,0,0,0,0,0,0,0
0,0,0,0,0,0,0,349001,0,279179064,944,0,0,0,348949,0,0,0,0,0,0,0
0,0,0,0,0,0,0,180087,0,144065312,448,0,0,0,180086,0,0,0,0,0,0,0
0,0,0,0,0,0,0,346556,0,277169936,976,0,0,0,346509,0,0,0,0,0,0,0
0,0,0,0,0,0,0,335653,0,268526720,952,0,0,0,335670,0,0,0,0,0,0,0
0,0,0,0,0,0,0,183810,0,147043768,480,0,0,0,183810,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171287,0,137030360,456,0,0,0,171100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,173115,0,138510152,592,0,0,0,173512,0,0,0,0,0,0,0
0,0,0,0,0,0,0,351913,0,282081376,952,0,0,0,341546,0,0,0,0,0,0,0
0,0,0,0,0,0,0,170254,0,135927848,416,0,0,0,178543,0,0,0,0,0,0,0
0,0,0,0,0,0,0,357037,0,285428544,944,0,0,0,356703,0,0,0,0,0,0,0
0,0,0,0,0,0,0,162578,0,130062496,464,0,0,0,162730,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175429,0,140326424,464,0,0,0,175428,0,0,0,0,0,0,0
0,0,0,0,0,0,0,343237,0,274557568,1056,0,0,0,343007,0,0,0,0,0,0,0
0,0,0,0,0,0,0,345648,0,276914920,960,0,0,0,345769,0,0,0,0,0,0,0
0,0,0,0,0,0,0,164320,0,131301432,456,0,0,0,164319,0,0,0,0,0,0,0
0,0,0,0,0,0,0,340776,0,272421776,952,0,0,0,340777,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171416,0,137044208,472,0,0,0,171298,0,0,0,0,0,0,0
0,0,0,0,0,0,0,173366,0,138929632,480,0,0,0,173619,0,0,0,0,0,0,0
0,0,0,0,0,0,0,165136,0,131893776,464,0,0,0,165049,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171961,0,137738960,472,0,0,0,171919,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175003,0,140003064,592,0,0,0,175184,0,0,0,0,0,0,0
0,0,0,0,0,0,0,166024,0,132666264,416,0,0,0,166048,0,0,0,0,0,0,0
0,0,0,0,0,0,0,339890,0,271920392,928,0,0,0,339594,0,0,0,0,0,0,0
0,0,0,0,0,0,0,173747,0,139295240,480,0,0,0,173583,0,0,0,0,0,0,0
0,0,0,0,0,0,0,174726,0,139649176,464,0,0,0,175214,0,0,0,0,0,0,0
0,0,0,0,0,0,0,348235,0,278753080,888,0,0,0,348133,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171741,0,137177600,480,0,0,0,171659,0,0,0,0,0,0,0
0,0,0,0,0,0,0,172765,0,138278944,584,0,0,0,172752,0,0,0,0,0,0,0
0,0,0,0,0,0,0,336104,0,268841408,952,0,0,0,336298,0,0,0,0,0,0,0
0,0,0,0,0,0,0,342285,0,273807088,944,0,0,0,342123,0,0,0,0,0,0,0
0,0,0,0,0,0,0,351769,0,281353704,968,0,0,0,351750,0,0,0,0,0,0,0
0,0,0,0,0,0,0,174327,0,139078288,424,0,0,0,165543,0,0,0,0,0,0,0
0,0,0,0,0,0,0,158685,0,127340016,456,0,0,0,167313,0,0,0,0,0,0,0
0,0,0,0,0,0,0,176405,0,141064464,472,0,0,0,176246,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175683,0,140631088,480,0,0,0,175875,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171982,0,137586440,456,0,0,0,171983,0,0,0,0,0,0,0
0,0,0,0,0,0,0,183442,0,146768952,608,0,0,0,183491,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175818,0,140757176,464,0,0,0,175666,0,0,0,0,0,0,0
0,0,0,0,0,0,0,169565,0,135182336,464,0,0,0,169075,0,0,0,0,0,0,0
