Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0,0,0,0,0,0,164271,0,0,84137800,440,0,0,0,0,164343,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.595162223309423
0,0,0,0,0,0,168280,0,0,86052104,440,0,0,0,0,168221,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.59418992339803
0,0,0,0,0,0,167244,0,0,85608472,424,0,0,0,0,167213,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.59515691815156
0,0,0,0,0,0,161308,0,0,82652008,400,0,0,0,0,161343,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594896423300035
0,0,0,0,0,0,166189,0,0,84983088,464,0,0,0,0,166075,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.594896423300035
0,0,0,0,0,0,167325,0,0,85717432,400,0,0,0,0,167497,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59566731433876
0,0,0,0,0,0,171811,0,0,87969600,416,0,0,0,0,171413,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59566731433876
0,0,0,0,0,0,168913,0,0,86472648,416,0,0,0,0,160598,0,0,0,0,0,0,4.0,5.0,4.0,0.0859341431975313,18.59387743356901
0,0,0,0,0,0,165829,0,0,84967888,464,0,0,0,0,173042,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.594296098318235
0,0,0,0,0,0,159004,0,0,81346240,472,0,0,0,0,159190,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.593830368539844
0,0,0,0,0,0,169163,0,0,86604768,432,0,0,0,0,169052,0,0,0,0,0,0,5.0,5.0,6.0,0.0859341431975313,18.593830368539844
0,0,0,0,0,0,162417,0,0,83132464,400,0,0,0,0,162276,0,0,0,0,0,0,5.0,5.0,6.0,0.0859341431975313,18.594406027934955
0,0,0,0,0,0,175730,0,0,84799440,456,0,0,0,0,165704,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.593819323864707
0,0,0,0,0,0,163528,0,0,87830392,440,0,0,0,0,171697,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.593230933254056
0,0,0,0,0,0,169529,0,0,86912048,424,0,0,0,0,169687,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.593230933254056
0,0,0,0,0,0,165175,0,0,84511240,432,0,0,0,0,165104,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59391578340604
0,0,0,0,0,0,161212,0,0,82753256,408,0,0,0,0,161211,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59391578340604
0,0,0,0,0,0,169802,0,0,86892104,472,0,0,0,0,169801,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594942286884766
0,0,0,0,0,0,167944,0,0,85996944,448,0,0,0,0,167943,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594968281527716
0,0,0,0,0,0,165169,0,0,84534968,408,0,0,0,0,165168,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594030026066864
0,0,0,0,0,0,163775,0,0,88775336,448,0,0,0,0,163803,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.5951809813874
0,0,0,0,0,0,168425,0,0,82489960,440,0,0,0,0,168418,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.59435018319712
0,0,0,0,0,0,169205,0,0,86521680,384,0,0,0,0,169086,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59363171884313
