Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0,0,0,0,0,0,0,163110,0,130562872,456,0,0,0,163037,0,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.177451862608407
0,0,0,0,0,0,0,177848,0,142168784,472,0,0,0,177810,0,0,0,0,0,0,0,18.0,7.0,25.0,0.0859341431975313,18.46657639553591
0,0,0,0,0,0,0,182091,0,145844704,464,0,0,0,182424,0,0,0,0,0,0,0,27.0,9.0,28.0,0.0859341431975313,18.466139864574377
0,0,0,0,0,0,0,168895,0,135180648,472,0,0,0,168871,0,0,0,0,0,0,0,25.0,11.0,21.0,0.0859341431975313,18.46549970342396
0,0,0,0,0,0,0,175139,0,139987648,472,0,0,0,175055,0,0,0,0,0,0,0,25.0,13.0,21.0,0.0859341431975313,18.472368267619505
0,0,0,0,0,0,0,171284,0,136940832,456,0,0,0,171248,0,0,0,0,0,0,0,25.0,15.0,22.0,0.0859341431975313,18.469331311510988
0,0,0,0,0,0,0,171858,0,137623472,480,0,0,0,172278,0,0,0,0,0,0,0,36.0,19.0,28.0,0.0859341431975313,18.47865515104705
0,0,0,0,0,0,0,173255,0,138615648,464,0,0,0,173068,0,0,0,0,0,0,0,36.0,21.0,27.0,0.0859341431975313,18.481397559731608
0,0,0,0,0,0,0,172857,0,138153928,592,0,0,0,172625,0,0,0,0,0,0,0,26.0,24.0,26.0,0.0859341431975313,18.481451617265463
0,0,0,0,0,0,0,165329,0,132331616,464,0,0,0,165329,0,0,0,0,0,0,0,26.0,25.0,25.0,0.0859341431975313,18.481688764573192
0,0,0,0,0,0,0,175843,0,140620056,472,0,0,0,176079,0,0,0,0,0,0,0,26.0,27.0,28.0,0.0859341431975313,18.481764378870487
0,0,0,0,0,0,0,181376,0,145256816,464,0,0,0,181133,0,0,0,0,0,0,0,35.0,30.0,64.0,0.0859341431975313,18.496352769165192
0,0,0,0,0,0,0,171244,0,136853960,480,0,0,0,171245,0,0,0,0,0,0,0,35.0,30.0,23.0,0.0859341431975313,18.497240078079017
0,0,0,0,0,0,0,171340,0,137146496,424,0,0,0,171340,0,0,0,0,0,0,0,25.0,30.0,27.0,0.0859341431975313,18.496255651830616
0,0,0,0,0,0,0,163646,0,130816936,464,0,0,0,163699,0,0,0,0,0,0,0,26.0,30.0,28.0,0.0859341431975313,18.49789586650844
0,0,0,0,0,0,0,170081,0,136222240,464,0,0,0,170027,0,0,0,0,0,0,0,26.0,30.0,31.0,0.0859341431975313,18.484077668503826
0,0,0,0,0,0,0,175735,0,140477648,472,0,0,0,175729,0,0,0,0,0,0,0,32.0,29.0,73.0,0.0859341431975313,18.501728695774997
0,0,0,0,0,0,0,172476,0,138084016,600,0,0,0,172481,0,0,0,0,0,0,0,35.0,30.0,25.0,0.0859341431975313,18.50060975346223
0,0,0,0,0,0,0,171987,0,137523344,432,0,0,0,172075,0,0,0,0,0,0,0,29.0,30.0,26.0,0.0859341431975313,18.49677244014634
0,0,0,0,0,0,0,177014,0,141655720,512,0,0,0,176874,0,0,0,0,0,0,0,26.0,30.0,21.0,0.0859341431975313,18.49677244014634
0,0,0,0,0,0,0,180087,0,144065312,448,0,0,0,180086,0,0,0,0,0,0,0,26.0,30.0,22.0,0.0859341431975313,18.486046351863425
0,0,0,0,0,0,0,170028,0,135989448,464,0,0,0,170027,0,0,0,0,0,0,0,37.0,30.0,71.0,0.0859341431975313,18.486046351863425
0,0,0,0,0,0,0,176528,0,141180488,512,0,0,0,176482,0,0,0,0,0,0,0,38.0,30.0,24.0,0.0859341431975313,18.507565086663146
0,0,0,0,0,0,0,170932,0,136928264,440,0,0,0,170986,0,0,0,0,0,0,0,30.0,30.0,31.0,0.0859341431975313,18.50880892294051
0,0,0,0,0,0,0,164721,0,131598456,512,0,0,0,164684,0,0,0,0,0,0,0,26.0,30.0,24.0,0.0859341431975313,18.50880892294051
0,0,0,0,0,0,0,183810,0,147043768,480,0,0,0,183810,0,0,0,0,0,0,0,26.0,30.0,24.0,0.0859341431975313,18.4994897834006
0,0,0,0,0,0,0,171287,0,137030360,456,0,0,0,171100,0,0,0,0,0,0,0,32.0,30.0,64.0,0.0859341431975313,18.467138042644592
0,0,0,0,0,0,0,173115,0,138510152,592,0,0,0,173512,0,0,0,0,0,0,0,38.0,31.0,22.0,0.0859341431975313,18.493403193861987
0,0,0,0,0,0,0,176957,0,141516944,448,0,0,0,176774,0,0,0,0,0,0,0,32.0,31.0,29.0,0.0859341431975313,18.489739724062908
