Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0.0,0.0,0.0,0.0,0.0,0.0,1452.0,0.0,0.0,743592.0,416.0,0.0,0.0,0.0,727.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0859341431975313,18.620191851992654
0.0,0.0,0.0,0.0,0.0,0.0,23273.0,0.0,0.0,11918488.0,424.0,0.0,0.0,0.0,11630.0,11645.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0859341431975313,18.635742015134525
0.0,0.0,0.0,0.0,0.0,0.0,22006.0,0.0,0.0,11258608.0,352.0,0.0,0.0,0.0,10465.0,11014.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,20.0,0.0859341431975313,18.635984997776063
0.0,0.0,0.0,0.0,0.0,0.0,20981.0,0.0,0.0,10743544.0,416.0,0.0,0.0,0.0,11001.0,10506.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,17.0,0.0859341431975313,18.637630840072426
0.0,0.0,0.0,0.0,0.0,0.0,22193.0,0.0,0.0,11365264.0,488.0,0.0,0.0,0.0,11085.0,11108.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,19.0,0.0859341431975313,18.63805532338541
0.0,0.0,0.0,0.0,0.0,0.0,21042.0,0.0,0.0,10768544.0,296.0,0.0,0.0,0.0,10518.0,10511.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,16.0,0.0859341431975313,18.63805532338541
0.0,0.0,0.0,0.0,0.0,0.0,22481.0,0.0,0.0,11543536.0,488.0,0.0,0.0,0.0,11264.0,11295.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,19.0,0.0859341431975313,18.648150249621843
0.0,0.0,0.0,0.0,0.0,0.0,22133.0,0.0,0.0,11284480.0,424.0,0.0,0.0,0.0,11047.0,10980.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,21.0,0.0859341431975313,18.63507769728255
0.0,0.0,0.0,0.0,0.0,0.0,20940.0,0.0,0.0,10731624.0,400.0,0.0,0.0,0.0,10481.0,10478.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,17.0,0.0859341431975313,18.63659739227472
