Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0,0,0,0,0,0,201090,0,0,102957600,464,0,184,0,201045,0,0,0,0,0,0,0,6.0,5.0,20.0,0.0859341431975313,19.6348679352064
0,0,0,0,0,0,194934,0,0,99853464,288,0,104,0,195179,0,0,0,0,0,0,0,59.0,15.0,82.0,0.0859341431975313,19.6348679352064
0,0,0,0,0,0,202243,0,0,103548784,416,0,112,0,202222,0,0,0,0,0,0,0,82.0,20.0,79.0,0.0859341431975313,21.178676218298573
0,0,0,0,0,0,192210,0,0,98411464,432,0,101,0,192209,0,0,0,0,0,0,0,78.0,26.0,78.0,0.0859341431975313,21.42473119939396
0,0,0,0,0,0,213372,0,0,109246472,432,0,175,0,213371,0,0,0,0,0,0,0,77.0,36.0,81.0,0.0859341431975313,21.42473119939396
0,0,0,0,0,0,201813,0,0,103329144,400,0,295,0,201816,0,0,0,0,0,0,0,78.0,42.0,81.0,0.0859341431975313,22.03033683544908
0,0,0,0,0,0,204875,0,0,104704216,384,0,189,0,204871,0,0,0,0,0,0,0,81.0,49.0,83.0,0.0859341431975313,22.093353247803897
0,0,0,0,0,0,190175,0,0,97641024,424,0,229,0,190178,0,0,0,0,0,0,0,83.0,58.0,81.0,0.0859341431975313,22.093353247803897
0,0,0,0,0,0,203260,0,0,104068304,408,0,206,0,203258,0,0,0,0,0,0,0,81.0,65.0,77.0,0.0859341431975313,22.38641459032895
0,0,0,0,0,0,203817,0,0,104354552,408,0,139,0,203816,0,0,0,0,0,0,0,75.0,71.0,73.0,0.0859341431975313,22.564346796690423
0,0,0,0,0,0,194674,0,0,99674072,400,0,156,0,194677,0,0,0,0,0,0,0,74.0,78.0,79.0,0.0859341431975313,22.72116953259425
0,0,0,0,0,0,205435,0,0,105183440,408,0,284,0,205434,0,0,0,0,0,0,0,77.0,78.0,75.0,0.0859341431975313,22.811747514054872
0,0,0,0,0,0,201160,0,0,102992368,400,0,124,0,200852,0,0,0,0,0,0,0,76.0,78.0,75.0,0.0859341431975313,22.81116669408498
0,0,0,0,0,0,206528,0,0,105748624,448,0,93,0,206794,0,0,0,0,0,0,0,74.0,78.0,77.0,0.0859341431975313,22.76928222814689
0,0,0,0,0,0,191544,0,0,102714528,368,0,88,0,191552,0,0,0,0,0,0,0,75.0,77.0,75.0,0.0859341431975313,22.76928222814689
0,0,0,0,0,0,199061,0,0,101567784,408,0,59,0,205385,0,0,0,0,0,0,0,74.0,77.0,72.0,0.0859341431975313,22.689189960338844
